Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Days Existed,Funding,Select Investors
TELD,"$1,000,000,000 ",12/16/2019,Fintech,Qingdao,China,Asia,2014,41801,"$396,000,000 ","China Reform Fund, Gaopeng Capital, Jinhui Xingye"
Acko General Insurance,"$1,000,000,000 ",10/28/2021,Fintech,Bengaluru,India,Asia,2016,42481,"$458,000,000 ","Intact Ventures, Munich Re Ventures, General Atlantic"
apna,"$1,000,000,000 ",9/15/2021,Internet software & services,Bengaluru,India,Asia,2019,42435,"$193,000,000 ","Sequoia Capital India, Rocketship.vc, Lightspeed India Partners"
Beyond Identity,"$1,000,000,000 ",2/22/2022,Cybersecurity,New York,United States,North America,2019,42595,"$205,000,000 ","New Enterprise Associates, Koch Disruptive Technologies, Evolution Equity Partners"
Carousell,"$1,000,000,000 ",9/15/2021,E-commerce & direct-to-consumer,,Singapore,Asia,2012,42442,"$288,000,000 ","500 Global, Rakuten Ventures, Golden Gate Ventures"
Chief,"$1,000,000,000 ",3/31/2022,Other,New York,United States,North America,2019,42632,"$140,000,000 ","General Catalyst, Inspired Capital, Flybridge Capital Partners"
CoinDCX,"$1,000,000,000 ",8/10/2021,Fintech,Maharashtra,India,Asia,2017,42401,"$109,000,000 ","Polychain Capital, Coinbase Ventures, Jump Capital"
Daily Harvest,"$1,000,000,000 ",11/16/2021,E-commerce & direct-to-consumer,New York,United States,North America,2014,42502,"$120,000,000 ","M13, Lightspeed Venture Partners, Lone Pine Capital"
Enpal,"$1,000,000,000 ",10/18/2021,Internet software & services,Berlin,Germany,Europe,2017,42470,"$304,000,000 ","HV Capital, Softbank Group, BlackRock"
eSentire,"$1,000,000,000 ",2/22/2022,Cybersecurity,Waterloo,Canada,North America,2001,42613,"$186,000,000 ","Edison Partners, Georgian Partners, VentureLink"
Firefly Aerospace,"$1,000,000,000 ",5/4/2021,Other,Cedar Park,United States,North America,2014,42306,"$172,000,000 ","XBTO Ventures, Raven One Ventures, SK Ventures"
Fundbox,"$1,000,000,000 ",11/30/2021,Fintech,San Francisco,United States,North America,2013,42517,"$404,000,000 ","Khosla Ventures, General Catalyst, Blumberg Capital"
G2,"$1,000,000,000 ",6/22/2021,Internet software & services,Chicago,United States,North America,2012,42357,"$258,000,000 ","Pritzker Group Venture Capital, Accel, Hyde Park Venture Partners"
Gaussian Robotics,"$1,000,000,000 ",11/10/2021,Hardware,Shanghai,China,Asia,2013,42497,"$325,000,000 ","BlueRun Ventures, Grand Flight Investment, Meituan Dianping"
GetYourGuide,"$1,000,000,000 ",5/16/2019,Travel,Berlin,Germany,Europe,2009,41592,"$656,000,000 ","Spark Capital, Highland Europe, Sunstone Capital"
GlobalBees,"$1,000,000,000 ",12/28/2021,E-commerce & direct-to-consumer,New Delhi,India,Asia,2021,42537,"$185,000,000 ","Chiratae Ventures, SoftBank Group, Trifecta Capital"
Ivalua,"$1,000,000,000 ",5/21/2019,Fintech,Redwood City,United States,North America,2000,41606,"$134,000,000 ","Ardian, Tiger Global Management, KKR"
Juanpi,"$1,000,000,000 ",4/14/2016,E-commerce & direct-to-consumer,Wuhan,China,Asia,2012,40462,"$136,000,000 ","Tiantu Capital, SAIF Partners China, Newsion Venture Capital"
Karat,"$1,000,000,000 ",10/13/2021,Internet software & services,Seattle,United States,North America,2014,42468,"$169,000,000 ","8VC, Norwest Venture Partners, Tiger Global Management"
LEAD School,"$1,000,000,000 ",1/13/2022,Edtech,Andheri,India,Asia,2012,42562,"$166,000,000 ","WestBridge Capital, GSV Ventures, Elevar Equity"
Nexthink,"$1,000,000,000 ",2/8/2021,Data management & analytics,Prilly,Switzerland,Europe,2004,42231,"$346,000,000 ","Auriga, Galeo Ventures, Highland Europe"
People.ai,"$1,000,000,000 ",8/11/2021,Internet software & services,San Francisco,United States,North America,2017,42402,"$200,000,000 ","GGV Capital, Lightspeed Venture Partners, ICONIQ Capital"
Pharmapacks,"$1,000,000,000 ",11/12/2020,E-commerce & direct-to-consumer,Islandia,United States,North America,2010,42137,"$433,000,000 ",The Carlyle Group
Rightway,"$1,000,000,000 ",3/30/2021,Health,New York,United States,North America,2017,42268,"$130,000,000 ","Thrive Capital, Khosla Ventures, Tiger Global Management"
Sennder,"$1,000,000,000 ",1/14/2021,"Supply chain, logistics, & delivery",Berlin,Germany,Europe,2015,42195,"$340,000,000 ","Accelm Scania Growth Capital, Lakestar"
Sisense,"$1,000,000,000 ",1/9/2020,Data management & analytics,New York,United States,North America,2004,41835,"$274,000,000 ","Opus Capital, Genesis Partners, Battery Ventures"
Staffbase,"$1,000,000,000 ",3/15/2022,Internet software & services,Chemnitz,Germany,Europe,2014,42621,"$307,000,000 ","Insight Partners, e.ventures, General Atlantic"
Sunbit,"$1,000,000,000 ",5/20/2021,Fintech,Los Angeles,United States,North America,2016,42320,"$210,000,000 ","Zeev Ventures, Group11, Chicago Ventures"
TangoMe,"$1,000,000,000 ",3/20/2014,Mobile & telecommunications,Mountain View,United States,North America,2009,39709,"$361,000,000 ","Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group"
The Bank of London,"$1,000,000,000 ",11/30/2021,Fintech,London,United Kingdom,Europe,2018,42512,"$90,000,000 ","Mangrove Capital Partners,14W, ForgeLight"
Zego,"$1,000,000,000 ",3/9/2021,Fintech,London,United Kingdom,Europe,2016,42248,"$202,000,000 ","LocalGlobe, Balderton Capital, Target Global"
Nxin,"$1,000,000,000 ",9/18/2018,Internet software & services,Beijing,China,Asia,2015,41346,"$53,000,000 ","Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund"
Mamaearth,"$1,000,000,000 ",12/28/2021,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2016,42542,"$111,000,000 ","Fireside Ventures, Sequoia Capital India, Stellaris Venture Partners"
Radius Payment Solutions,"$1,000,000,000 ",11/27/2017,Fintech,Crewe,United Kingdom,Europe,1990,41076,"$200,000,000 ",Inflexion Private Equity
Rivigo,"$1,000,000,000 ",7/11/2019,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2014,41643,"$247,000,000 ","SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors"
Rubicon,"$1,000,000,000 ",8/25/2017,Other,Atlanta,United States,North America,2008,40964,"$223,000,000 ","Goldman Sachs, Leonardo DiCaprio, Promecap"
Socar,"$1,000,000,000 ",10/16/2020,Auto & transportation,Jeju-do,South Korea,Asia,2012,42108,"$408,000,000 ","Bain Capital, Altos Ventures, Songhyun Investment"
MobileCoin,"$1,000,000,000 ",7/7/2021,Fintech,San Francisco,United States,North America,2018,42366,"$107,000,000 ","General Catalyst, Future Ventures, AU21"
